电影名,评分,演员,链接,图片
布达佩斯大饭店,8.8,拉尔夫·费因斯托尼·雷沃罗利艾德里安·布洛迪,https://movie.douban.com/subject/11525673/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
海蒂和爷爷,9.2,阿努克·斯特芬布鲁诺·甘茨昆林·艾格匹,https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
勇敢的心,8.9,梅尔·吉布森苏菲·玛索布莱恩·考克斯,https://movie.douban.com/subject/1294639/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg
剪刀手爱德华,8.7,约翰尼·德普薇诺娜·瑞德黛安·韦斯特,https://movie.douban.com/subject/1292370/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
阿凡达,8.7,萨姆·沃辛顿佐伊·索尔达娜西格妮·韦弗,https://movie.douban.com/subject/1652587/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
天使爱美丽,8.7,奥黛丽·塔图马修·卡索维茨吕菲斯,https://movie.douban.com/subject/1292215/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
摩登时代,9.3,查理·卓别林宝莲·高黛亨利·伯格曼,https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
加勒比海盗,8.7,约翰尼·德普杰弗里·拉什奥兰多·布鲁姆,https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
致命ID,8.8,约翰·库萨克雷·利奥塔阿曼达·皮特,https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
喜剧之王,8.7,周星驰张柏芝莫文蔚,https://movie.douban.com/subject/1302425/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
阳光灿烂的日子,8.8,夏雨宁静陶虹,https://movie.douban.com/subject/1291875/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
重庆森林,8.7,林青霞金城武梁朝伟,https://movie.douban.com/subject/1291999/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
第六感,8.9,布鲁斯·威利斯海利·乔·奥斯蒙托妮·科莱特,https://movie.douban.com/subject/1297630/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
请以你的名字呼唤我,8.9,艾米·汉莫蒂莫西·柴勒梅德迈克尔·斯图巴,https://movie.douban.com/subject/26799731/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
小森林 夏秋篇,9.0,桥本爱三浦贵大松冈茉优,https://movie.douban.com/subject/25814705/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
哈利·波特与死亡圣器(下),8.8,丹尼尔·雷德克里夫艾玛·沃森鲁伯特·格林特,https://movie.douban.com/subject/3011235/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
消失的爱人,8.7,本·阿弗莱克裴淳华尼尔·帕特里克·哈里斯,https://movie.douban.com/subject/21318488/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
